[user:Keanu] [type:inversión] [ammount:1115401358389555]
[user:Juan] [type:descuento] [ammount:3070571329704184]
[user:Gustavo] [type:pago] [ammount:783317923257422]
[user:Gustavo] [type:pago] [ammount:783317923257422]
[user:Gustavo] [type:pago] [ammount:783317923257422]
[user:Gustavo] [type:pago] [ammount:783317923257422]
[user:Dalí] [type:inversión] [ammount:1965753336897549]
[user:Kung] [type:descuento] [ammount:178877189836623]
[user:Dalí] [type:descuento] [ammount:950399550152079]
[user:Kung] [type:cobro] [ammount:2239921489547853]
[user:Dalí] [type:descuento] [ammount:950399550152079]
[user:Kung] [type:cobro] [ammount:2239921489547853]
[user:Dalí] [type:descuento] [ammount:950399550152079]
[user:Kung] [type:cobro] [ammount:2239921489547853]
[user:Dalí] [type:descuento] [ammount:950399550152079]
[user:Kung] [type:cobro] [ammount:2239921489547853]
[user:Dalí] [type:descuento] [ammount:950399550152079]
[user:Kung] [type:cobro] [ammount:2239921489547853]
[user:Dalí] [type:descuento] [ammount:950399550152079]
[user:Kung] [type:cobro] [ammount:2239921489547853]
[user:Dalí] [type:descuento] [ammount:950399550152079]
[user:Kung] [type:cobro] [ammount:2239921489547853]
[user:Dalí] [type:descuento] [ammount:950399550152079]
[user:Kung] [type:cobro] [ammount:2239921489547853]
[user:Dalí] [type:descuento] [ammount:950399550152079]
[user:Kung] [type:cobro] [ammount:2239921489547853]
